"week","mean","median","sd","skewness","kurtosis"
"2015-31",2446.97973290179,35,10420.193582207,8.0607288044525,79.7233029207264
"2015-32",2578.61219702326,30,10738.2585335147,7.73624964251914,74.0600717396464
"2015-33",2927.77237956442,23,11582.0453993934,7.54781178267682,72.6168196383647
"2015-34",2458.43527752682,17,11931.1126774364,7.66080768207755,71.7192205571482
"2015-35",2502.51411147648,18,12963.7391256605,8.48234887533818,85.121611258926
"2015-36",2352.16788979791,19,11740.4644834972,8.30064888799561,82.7698624021587
"2015-37",3166.65625662119,844,9898.05582769637,9.0636199258849,103.945699585225
"2015-38",2804.82598198137,240,11074.128563181,9.56034355278103,109.486506775476
"2015-39",2433.21367657154,24,11082.3233115756,8.68166537403912,95.2431879450448
"2015-40",2209.74116508311,23,8993.58824974069,8.06708247929623,93.4299320967877
"2015-41",4818.50933180871,228,10647.2931481579,6.23147522844835,60.2451433353592
"2015-42",4812.83315061309,63,14309.8074686754,4.79708550826085,30.4994159604596
"2015-43",3282.67887599347,33,10988.0795033768,5.86427373590135,50.1690590448011
"2015-44",3664.05459459258,39,12190.5222842835,6.0968353618934,56.9055667343302
"2015-45",4185.26524255502,35,14735.5748062289,5.53767198511969,41.3189868973121
"2015-46",2431.7670103809,25,9864.31688204036,7.70388506186248,85.5298666211589
"2015-47",3001.5977674657,27,10854.0297111201,6.70566538603451,67.0073359602434
"2015-48",2567.64273182278,31,9318.92082209808,7.88076950901077,97.8559208513983
"2015-49",3081.97854452615,31,9810.20617274044,5.86432616130189,56.2100952948882
"2015-50",2998.98294717396,21,10955.5156887769,6.34696113418436,62.0388346668806
"2015-51",2433.08493814813,17,11582.6960796769,7.4695847151641,71.0743680016151
"2015-52",1933.8813409078,18,8991.45549486153,8.87704198296828,115.260566288374
"2015-53",2526.84726322455,30,10224.0221574401,8.09831274402142,98.663020598342
"2016-01",2464.13137957545,21,10114.6801994255,7.98338962061413,91.885436265373
"2016-02",2389.59815056097,25,10619.7613487125,8.85756528068552,116.209719698241
"2016-03",2820.8554501482,23,11165.8635081148,6.59214397099253,61.4018173138057
"2016-04",2017.69528010026,15,9132.13818868397,8.94860602301709,117.006575978131
"2016-05",2670.74726615886,22,9894.7818572695,8.40025872626825,105.583345715374
"2016-06",2186.18798905333,19,10305.4827834158,8.44034945685677,96.5190376498935
"2016-07",1797.62213831448,18,9317.04949093684,9.45991294090546,117.115415321214
"2016-08",1930.28027153828,20,9438.78615367437,9.48020082892906,127.878698283127
"2016-09",2423.47163562937,25,11121.6685662037,7.89625957863013,86.4338303439901
"2016-10",4058.85043796098,33,13451.9492194324,5.47151058786737,44.563484991433
"2016-11",3666.40790016582,22,12323.028652587,5.80805525713488,54.7187734859203
"2016-12",3870.59307669648,34,12609.2063683075,6.0189500568896,59.6801412754364
"2016-13",4094.00039592175,55,14486.7432709663,7.18786127359866,73.0257055636696
"2016-14",3242.30540941742,24,12003.6577097616,7.20464593016875,90.6298470998876
"2016-15",2057.74079967838,25,10056.4222875138,9.35678864608356,124.732645101066
"2016-16",2166.58639842826,24,10170.1290813732,8.55514518013342,104.598338347447
"2016-17",1962.20708412587,23,10355.8468221654,9.14008379882218,106.752523259962
"2016-18",2458.57509348339,32,11237.9980384164,7.68815901893762,79.3018814359255
"2016-19",1813.63109939748,27,9817.73504056466,10.1631089238589,135.249462306031
"2016-20",2008.91551935689,43,9885.49288502679,10.1435577929532,135.172842708073
"2016-21",2440.74170129376,48,10815.1090886249,8.30840045528435,92.5728974062564
"2016-22",2879.92077588087,37,12616.0414798251,7.53720652804172,75.6481821546394
"2016-23",3520.0704607532,30,13225.1135513489,5.90360975904708,51.0553623202564
"2016-24",3499.09353503147,50,14719.4998272777,6.82807288652256,58.5358424970818
"2016-25",2781.03864858493,39,13191.0539555466,8.43082907511566,94.6839804301244
"2016-26",3929.53098833255,35,14042.1241882976,5.42716441167352,44.0959704993217
"2016-27",5016.6956969868,34,15280.5848233157,4.14986586682187,28.0725717572977
"2016-28",3956.45578464465,34,14148.8314939956,6.16144241139055,60.5781133268977
"2016-29",3824.65583678254,30,13885.7189432785,6.30978540606216,62.6450246853802
"2016-30",2741.8930808184,32,11083.7473612489,7.07972988049277,70.9242972672922
"2016-31",5808.28427313737,35,16468.8961281623,3.55455254782376,19.4515589920419
"2016-32",5628.73919100558,33,16492.7398715966,3.58222478799886,19.7208955294961
"2016-33",3403.98070681717,32,12923.2282296559,5.68798486718492,47.9884254610696
"2016-34",4380.97725279732,30,14842.2599684976,4.52333151511104,32.3459461207918
"2016-35",4388.26604842693,30,14784.7415744313,4.59956249600867,31.0555968767888
"2016-36",5659.36368723208,30,17020.2410946292,3.57335631735658,18.2696115173578
"2016-37",6275.23096517342,31,17793.2740147469,3.48619666742356,18.9609751979862
"2016-38",6543.45182347921,28,18499.6960328237,3.17287554423846,14.6969253548864
"2016-39",5506.42974156497,28,17054.9821416926,3.61562250945896,18.097184211013
"2016-40",5721.74779907079,24,17660.2631859121,3.53763776564868,17.3565393796851
"2016-41",3448.11889490734,29,13467.3643979248,5.82082242988853,48.5884409776044
"2016-42",5799.2358017729,48,17607.3888687135,3.95383397346481,23.2183735067187
"2016-43",7903.71788597705,74,19573.6871861316,3.42432933525866,18.5998272947371
"2016-44",5472.61375721856,32,17879.080999047,4.23646894232109,26.1233704825342
"2016-45",7031.35627404293,37,20557.6472933133,3.60820059748985,19.7625119031701
"2016-46",5829.91311008327,35,18333.409835855,3.94874550772952,21.9098248325868
"2016-47",2800.9171561769,38,12849.9470369685,7.42037064983898,71.851656247569
"2016-48",3911.02294613615,43,15648.0601090733,5.57238449458716,40.4829171191488
"2016-49",5188.69132846283,39,17731.1502250818,4.50241946547506,27.1315618728929
"2016-50",3593.70294347363,35,15123.3123611525,6.1067127451783,48.8277860110787
"2016-51",4370.40302184526,31,17407.6831528084,5.65681506036784,42.4037737703957
"2016-52",7034.63548854452,33,22254.043047442,3.92244531183667,21.4230455964392
"2017-01",3962.26786017425,33,17692.4930194975,6.91227858098192,59.6759934851371
"2017-02",4662.68271539059,32,18633.9958812646,5.60614604438492,41.4175038430312
"2017-03",2305.5750070905,29,12279.1301638544,11.1473147168334,162.919268308269
"2017-04",4487.92681470604,70,14665.0784705154,6.47604818923649,61.1472184620371
"2017-05",3278.19992724661,40,13048.7685460228,8.02407539723992,89.8935321014166
"2017-06",2581.00586675919,29,12738.2059729263,9.36386582588398,113.420194054465
"2017-07",2701.53891033444,29,13438.7991675298,9.84334239014263,126.091000960212
"2017-08",2893.07991687964,31,16529.5019069515,9.97501139377531,117.088150856165
"2017-09",2082.0804106534,25,12104.6673237191,11.1746013236361,154.490017130664
"2017-10",2433.76327422422,36,13070.0820498154,10.1180305282818,126.170886494464
"2017-11",3160.58703653196,31,14558.7132981753,8.42127333120653,91.7096916547621
"2017-12",2657.28258472221,23,13974.958874969,8.76013265838944,97.3489265919818
"2017-13",2380.87401086948,32,12154.6438487525,10.5827806786244,147.162675323522
"2017-14",2485.28847509743,30,12638.2857665992,9.96055072727732,132.23688698377
"2017-15",2104.62258547579,33,10890.7715377658,10.8928620334944,157.111581050648
