"week","mean","median","sd","skewness","kurtosis"
"2015-01",28957.9355237082,279,86419.8507110415,3.6831190983077,16.5130678306553
"2015-02",24876.318633511,364,73542.5452726841,4.17579671148756,22.0800136507624
"2015-03",26302.3428156677,491,77347.2280902549,4.39938973651608,23.7376273195885
"2015-04",20003.819527627,127,74229.3504175005,4.8599606744275,27.4666376557269
"2015-05",18581.6652729606,249,66369.8083939897,5.0605464741626,31.1931802925375
"2015-06",19626.9247474608,315,72411.1916105964,5.17098470377376,31.4841576643196
"2015-07",22441.0715697958,212,76060.638438178,4.82782578262084,27.8815434926842
"2015-08",19304.3879557921,89,77362.2988292745,5.23819139579442,31.5015076903138
"2015-09",12555.4169745192,29,57176.4716102459,6.56349716307883,51.7773072259289
"2015-10",11472.8101656461,39,57451.5819538933,6.88025337107149,54.9084216436199
"2015-11",11910.0337119337,80,53139.8641141134,7.69664592085699,69.6199826290481
"2015-12",13051.3436583524,156,61366.274206643,6.78754819535355,53.9499433110735
"2015-13",10136.6674128935,29,55315.7017016715,7.91540588864261,71.4356862194638
"2015-14",7582.55935580137,14,47082.0861546697,9.60970102157958,108.167939584419
"2015-15",9792.8616464543,19,56247.6001767406,8.11031379729007,73.5752645870079
"2015-16",17882.7963769105,61,75332.4689621874,5.66277675831021,37.5254713435202
"2015-17",50171.3011625594,246,134237.484674629,3.07786309190481,11.5933661503375
"2015-18",46028.7983142036,278,123152.384997047,3.22281988674334,12.9688324889137
"2015-19",17055.8334626237,121,73878.3641755188,6.64207164798361,50.9191736088218
"2015-20",23215.6578926873,112,84011.1186874179,5.13304012746477,31.845426566052
"2015-21",27773.1236789279,216,92170.2947871208,4.4629671150492,24.4883723479114
"2015-22",57782.4656171245,1477,123444.441754825,3.078492579463,12.7596168006278
"2015-23",27498.4428119696,161,93663.6693682112,5.07467910953874,31.3043494922168
"2015-24",25848.1828233255,274,90580.2058385702,5.06116433116323,31.2848290095386
"2015-25",38599.6564999307,305,116874.077228719,4.21934791394564,21.8735966390011
"2015-26",25775.2008584594,501,74927.3764915373,5.64107220162095,43.730143603195
"2015-27",33178.9788139985,375,114779.177865732,4.6433945456213,25.7364259100938
"2015-28",32076.3812752392,519,114832.246801859,4.71152048544104,26.053730538811
"2015-29",27803.9197545439,502,115953.209808731,5.12587919548295,29.4099222596444
"2015-30",25511.0904088122,331,96177.9680169869,5.42270307685853,35.8863627422599
"2015-31",28172.6592734385,955,107821.370404752,4.97487230045848,28.8648380632086
"2015-32",35069.4223757255,671,106242.226587317,4.67082533547312,28.0612798097789
"2015-33",29958.2233538526,199,114831.39412082,4.85493951346363,26.9836102164957
"2015-34",29834.8645601274,389,108662.303566717,5.02091965776329,29.8215112284286
"2015-35",36082.59620626,247,127279.79788139,4.4967041938831,23.7291597195789
"2015-36",32794.3385738,171,120571.419176477,4.69976600815243,25.6480973798378
"2015-37",23873.8416416261,119,101252.474826093,5.3605340331198,33.1645251044527
"2015-38",22345.680004096,196,92563.8778797857,5.92334124989276,40.5884869363365
"2015-39",25068.2812273108,196,94750.3637700106,5.81076123003431,41.2792408790197
"2015-40",91385.7962437385,380,177872.263857272,1.79326577928191,5.06371588344648
"2015-41",21749.9001587587,549,86402.7371556096,6.14992502570316,46.7529803448693
"2015-42",28917.8642431013,158,120610.812480582,5.45431851931535,33.9722056211821
"2015-43",22273.1067494844,317,86739.1497537495,6.13505278869748,46.4403236102605
"2015-44",29223.5115767825,269,114245.012312532,5.39777169339529,34.4038139592497
"2015-45",52119.8059088942,284,171935.502225181,3.92077206856115,17.8481996517562
"2015-46",38446.0605559345,188,140415.58991941,4.50958683492111,23.7716626761493
"2015-47",23938.8507607748,125,104156.284665672,6.35976260153088,47.7217310536196
"2015-48",44947.5009406559,95,142885.762967674,3.94781593320008,19.5321293424614
"2015-49",28839.1566834484,188,119443.823827053,5.88536860088364,39.5722334944418
"2015-50",46079.6787512813,241,149888.340173004,4.22016358535433,21.6242076777006
"2015-51",33235.5038668038,232,118057.746056364,4.71689300604228,28.3428371784211
"2015-52",30012.0232034844,202,119432.924653496,5.56510497766492,37.3137139375801
"2015-53",26483.160834943,194,113316.500468687,5.99104637545256,42.1695774560475
"2016-01",48074.7923974922,307,171733.204040149,4.31943237543095,21.1432135100667
"2016-02",36929.5052454756,611,136092.051764478,4.95819948537943,28.7742022193906
"2016-03",68674.5184681035,484,180162.245166358,3.09306158011866,12.5744650269557
"2016-04",86641.8526577309,837,237858.822876896,2.98522476409095,10.710441684348
"2016-05",25567.8719332213,285,119671.799179092,6.044852305376,42.4006306313681
"2016-06",144390.211189487,367,334689.40196727,2.09319024665047,5.55899634991575
"2016-07",407690.184174222,11653,480916.145993042,0.392714541628106,1.19236978057496
"2016-08",19411.411378691,790,102248.867017411,8.03102902650108,71.7521246252542
"2016-09",22820.3425061074,722,126437.45049917,7.08233262743345,54.5607241925695
"2016-10",29888.8792759436,412,139132.549046414,5.83899827952504,37.7444065076296
"2016-11",26174.1143727975,491,131447.523249219,6.79316039292429,50.7679251452487
"2016-12",27318.5966354812,801,115467.737630297,6.97849959891471,57.6284668977836
"2016-13",24835.0648515491,423,120089.541084833,6.89064064955939,53.4945975993052
"2016-14",29582.8288495693,840,129486.676869443,6.23334147522895,45.2732850485958
"2016-15",25456.0596365637,915,120697.915097665,6.95321985267922,54.5668977619992
"2016-16",26521.806970279,823,125002.186587157,6.1784892257742,43.5755731531178
"2016-17",30605.5987868453,612,142687.096874969,6.61866329134554,48.2503013085015
"2016-18",26817.824816102,716,136946.511259983,6.74631529088442,50.322946843853
