"week","mean","median","sd","skewness","kurtosis"
"2015-01",18056.7547100739,162,49156.3530247326,3.58144128681309,17.6570110856679
"2015-02",15361.9166641999,122,48276.0758717977,4.18463400134561,22.4963935521068
"2015-03",27304.5261933217,136,73448.9955999153,3.38563904510576,15.2066040448741
"2015-04",18548.8929749149,125,58273.1556787194,4.14693915200658,21.0575948011604
"2015-05",13164.338448726,62,43494.8186239266,4.1385237891785,21.4928748847886
"2015-06",8606.25355607965,159,36321.4627448148,5.57625280244643,36.5882220336941
"2015-07",7291.99584778656,180,30835.460460161,6.14161201834875,46.2114070309021
"2015-08",9462.60549141475,136,39363.3686860806,6.82246031517767,55.1436389355608
"2015-09",10907.9525075928,110,53740.2977522537,6.48604495043383,47.6527476209821
"2015-10",8492.13806155992,162,35157.6060483485,6.62115757257182,54.1907006910937
"2015-11",12780.0133221917,226,51593.7882456836,5.22378628278212,30.9941465320699
"2015-12",13460.2252300545,271,47449.1059994729,5.3246552853867,35.6176862393284
"2015-13",11961.1021841071,180,50187.9211675346,6.07265726455485,43.603678321685
"2015-14",10288.4880929585,228,38535.1484638307,5.24221358717638,31.9372653083489
"2015-15",9539.58731827237,135,38835.3719255322,5.98805667745059,45.1075362695352
"2015-16",8713.07682767349,169,38044.0347062225,6.37705945445138,47.238084341594
"2015-17",16429.339022071,595,47502.7576574171,4.94766932896181,35.5931091318946
"2015-18",8460.13311652284,424,32520.9733603578,7.16793271546638,62.7217729098262
"2015-19",11961.2760225279,228,42961.110921476,5.53178742255128,39.3165492372953
"2015-20",12703.6461318052,257,42220.5159443798,4.52927269664892,25.4768271156309
"2015-21",12688.7188101757,310,36477.531608227,5.54535791582069,43.2301877935295
"2015-22",26942.0635243706,397,87798.7283017098,4.08911538777688,19.362839238862
"2015-23",12356.9489947712,324,45000.7577223304,5.68391667098741,39.3396230161807
"2015-24",15312.5804001356,311,53625.0426233667,5.00657569230977,29.9529585876465
"2015-25",21789.5192782484,171,60851.519798968,3.98669733889669,21.7820905241619
"2015-26",16664.3394780353,135,65000.8491054254,5.54754584729846,39.8635061438551
"2015-27",31928.3563828968,327,88265.921048134,3.72987628904972,19.0207154851985
"2015-28",53795.4988381069,575,102529.578402594,1.99625338478699,6.19165569463287
"2015-29",28395.990220481,230,81256.2129746883,3.52332053068231,16.0344857650952
"2015-30",22172.8789749442,168,68118.4092753199,3.71171545374329,16.426569905171
"2015-31",18183.6551785527,122,60936.5038273311,4.29676222459531,22.5534455701247
"2015-32",18687.3885306335,149,57059.1893172491,4.19714579974382,22.907487894197
"2015-33",17221.9449710122,232,52560.168847426,4.67861203594381,28.4943341475036
"2015-34",23449.9897042177,392,57788.0134463209,4.06578126993418,23.2705833397066
"2015-35",19448.1110933631,129,66153.2591976348,4.11958842997761,19.742080421964
"2015-36",11092.1927808871,148,47172.386908318,6.03205858255101,42.5305929896543
"2015-37",14061.1137186173,141,53473.1963289491,5.33798225697903,33.8010683429201
"2015-38",18862.6769736678,265,65418.6866530009,4.60245286316875,23.934843786412
"2015-39",13546.8561674592,254,55731.8645690696,7.58046054077356,74.188135652772
"2015-40",21157.5856873426,204,69525.1238171118,4.26528994034228,21.3285726397025
"2015-41",19058.0361467356,167,59491.2946746209,4.17040912194707,21.4454895226597
"2015-42",12678.5310533413,87,53907.1309112655,5.78640126857365,39.1747906201807
"2015-43",17666.0664619381,67,61015.5404065727,4.48632639960848,24.2228513697413
"2015-44",21302.3862255882,63,67119.7197364464,4.38951408194265,24.8204875325614
"2015-45",28128.7529084504,102,78097.3583094392,3.51580662526576,16.087023318615
"2015-46",20940.3180283592,64,81170.7756287481,4.65129057371369,25.0247948331596
"2015-47",12127.850061906,55,54384.3104764992,6.08664244486628,43.2748718186654
"2015-48",20735.3267467721,62,78567.8178758611,4.74822111360513,26.135826334304
"2015-49",19876.2880472438,93,77002.4241739071,5.91650485775293,46.0536099157141
"2015-50",21810.1354002125,31,79205.7598571421,4.22434777724962,20.5908917012419
"2015-51",18459.6084573859,67,66281.8094658183,4.39874835703989,22.8584216433538
"2015-52",15925.3717180599,185,61344.5683221849,5.98137683959315,46.3480176682513
"2015-53",29746.2873518722,311,109135.148659426,4.49078956823376,22.705930560863
"2016-01",26485.7024402868,151,106953.093252588,4.88503255820799,26.338109547865
"2016-02",17245.3364755171,335,59654.1319498657,5.4484830185399,37.7531904733398
"2016-03",17927.4020574724,296,65211.5624557772,5.51092592716471,35.9377038539114
"2016-04",21714.6859865685,1551,60159.9700609454,6.30007388047014,54.1289747860276
"2016-05",17671.1012901112,307,79278.716569223,6.81523649000767,54.1037704793271
"2016-06",20889.2419631376,420,66212.0286352486,5.24600900481518,36.0847324450477
"2016-07",15249.8425057105,229.5,61514.3695700399,5.57454264180621,35.7465613134226
"2016-08",13039.1653122937,243,57514.077706636,6.68813008190893,54.1094520680338
"2016-09",15780.0332221159,254,66387.4851807768,5.78779024624178,39.4796744961571
"2016-10",28706.466496117,303,105959.604107117,4.28931197730759,20.6767053038546
"2016-11",15668.6854923313,194,67009.2243775946,5.91429701715474,40.9456477590701
"2016-12",12054.6379311717,173,60244.1717257339,6.69891613199151,49.8083300095803
"2016-13",17645.1930716769,244,75507.3060392279,5.44914569620037,33.2257339719306
"2016-14",19760.6467905487,156,86869.551213317,5.43333856433593,33.1370644091138
"2016-15",23201.9763641105,202,91521.9562945439,5.45225088655091,36.9770519413699
"2016-16",14391.1510397211,296,61462.8928652384,6.28361675335204,46.503379772137
"2016-17",27788.605644712,275,91458.2779150284,5.1558518332757,36.5811216764912
"2016-18",21315.5410050271,682,74748.3565170832,5.2480428310695,33.7642757411744
"2016-19",20012.2463806727,412,75812.336747494,5.15094223220154,30.5715646118718
"2016-20",38522.4729570228,383,131306.445112083,3.67888648831306,15.168353852629
"2016-21",22405.2586133249,164,81547.1956667713,4.69107897759395,26.189207497333
"2016-22",28377.254472081,170,100572.42890474,4.51905717037395,24.4172727563193
"2016-23",55353.8269902135,546,124090.708508786,2.68202917038457,9.81442462892096
"2016-24",51259.3284705659,225,136414.251866175,3.19221785695428,13.4198072996
"2016-25",33567.2851948864,123,115659.932475986,4.08183724993634,20.4392645324565
"2016-26",23936.046015617,178,84564.627271429,4.82704685141286,27.4941213445
"2016-27",17990.5738629797,94,75338.545739712,6.06134792838194,42.5817964251627
"2016-28",24027.5253769332,105,88288.6741576172,4.60182852729112,25.1848599145892
"2016-29",19325.6257860501,100,75063.3052335326,5.08103466406969,30.1838141375476
"2016-30",37177.8339673646,149,116927.368276719,3.69657700267395,16.3709089340596
"2016-31",16575.5986057839,109,66749.3871670714,6.34739947707631,47.0083773348181
"2016-32",10373.6101403888,151,55270.0143376043,8.64891691656137,87.2705353022253
"2016-33",18545.3671578538,202,76168.1059379422,6.35048689256373,45.9382300614622
