"week","mean","median","sd","skewness","kurtosis"
"2015-45",4185.26524255502,35,14735.5748062289,5.53767198511969,41.3189868973121
"2015-46",2431.7670103809,25,9864.31688204036,7.70388506186248,85.5298666211589
"2015-47",3001.5977674657,27,10854.0297111201,6.70566538603451,67.0073359602434
"2015-48",2567.64273182278,31,9318.92082209808,7.88076950901077,97.8559208513983
"2015-49",3081.97854452615,31,9810.20617274044,5.86432616130189,56.2100952948882
"2015-50",2998.98294717396,21,10955.5156887769,6.34696113418436,62.0388346668806
"2015-51",2433.08493814813,17,11582.6960796769,7.4695847151641,71.0743680016151
"2015-52",1933.8813409078,18,8991.45549486153,8.87704198296828,115.260566288374
"2015-53",2526.84726322455,30,10224.0221574401,8.09831274402142,98.663020598342
"2016-01",2464.13137957545,21,10114.6801994255,7.98338962061413,91.885436265373
"2016-02",2389.59815056097,25,10619.7613487125,8.85756528068552,116.209719698241
"2016-03",2820.8554501482,23,11165.8635081148,6.59214397099253,61.4018173138057
"2016-04",2017.69429444662,15,9132.13595295733,8.94860832936291,117.006634473266
"2016-05",2670.74608940918,22,9894.7796877975,8.40026066368756,105.583392826361
"2016-06",2186.18691521171,19,10305.4802090252,8.44035169767187,96.5190873776187
"2016-07",1798.10657297964,18,9320.76017966773,9.46073044674932,117.115918276156
"2016-08",1930.28027153828,20,9438.78615367437,9.48020082892906,127.878698283127
"2016-09",2423.52714148306,25,11121.7988631996,7.89612458665036,86.4308346945157
"2016-10",4058.85043796098,33,13451.9492194324,5.47151058786737,44.563484991433
"2016-11",3666.40790016582,22,12323.028652587,5.80805525713488,54.7187734859203
"2016-12",3870.59307669648,34,12609.2063683075,6.0189500568896,59.6801412754364
"2016-13",4094.00039592175,55,14486.7432709663,7.18786127359866,73.0257055636696
"2016-14",3242.30540941742,24,12003.6577097616,7.20464593016875,90.6298470998876
"2016-15",2057.74079967838,25,10056.4222875138,9.35678864608356,124.732645101066
"2016-16",2166.58639842826,24,10170.1290813732,8.55514518013342,104.598338347447
"2016-17",1962.20708412587,23,10355.8468221654,9.14008379882218,106.752523259962
"2016-18",2458.60912215726,32,11238.1812012894,7.68812881908442,79.3004716976002
