"L","flavor","f_D.gamma","f_D.lnorm","f_D.f"
"L_FGT",1,0.114593035422099,0.118442304051464,0.112173839576946
"L_FGT",2,0.0571138439873846,0.0497370994664305,0.0474519635595684
"L_Welfare",1,0.195514126489678,0.17438112408889,0.166604226378729
"L_Welfare",5,38.335672781811,9.80396337496936,2.43406002776894
"L_MLE",0,3072672.94314182,3255804.14458042,3036829.65623237
